StudentID,currentGrade,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8
1274,11,NULL,"PSYCHOLOGY 11 (('YPSYC1AX--', 1, 1))","ENGLISH STUDIES 12 (('MENST12---', 0, 2))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 1, 3))",NULL,NULL,NULL,"CRIMINOLOGY 12 (('YLAW-2CX--', 2, 7))"
1275,11,"COMPARATIVE CULTURES 12 (('MCMCL12---', 0, 0))","LAW STUDIES 12 (('MLST-12---', 3, 1))","DANCE TECHNIQUE AND PERFORMANC (('MDNTP12---', 0, 2))","FRENCH 12 (('MFR--12---', 1, 3))","ENVIRONMENTAL SCIENCE 12 - CLI (('MEVSC12C--', 0, 4))","ENGLISH FIRST PEOPLES 12 (('MENFP12---', 0, 5))","LIFE SCIENCES 11 (('MLFSC11---', 0, 6))","TEXTILES 12 (('MTXT-12---', 3, 7))"
1276,10,"COMPARATIVE CULTURES 12 (('MCMCL12---', 0, 0))","LAW STUDIES 12 (('MLST-12---', 3, 1))","COMPOSITION 11 (('MCMPS11---', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","FOOD STUDIES 11 (('MFOOD11---', 1, 4))","PRE-CALCULUS 11 (('MPREC11---', 5, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","AUTOMOTIVE TECHNOLOGY 11 (('MTAUT11---', 2, 7))"
1277,10,"COMPUTER SCIENCE 12 (('MMACS12---', 2, 0))","CAREER LIFE EDUCATION 10 (('MCLE-10---', 4, 1))","LITERARY STUDIES 11 Challenge (('MLTST11C--', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","CHEMISTRY 11 (('MCH--11---', 1, 4))","AP STATISTICS 12 (('ASTA-12---', 0, 5))","PRE-CALCULUS 11 (('MPREC11---', 4, 6))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12C--', 0, 7))"
1278,10,"LIFE SCIENCES 11 (('MLFSC11---', 1, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","COMPOSITION 11 (('MCMPS11---', 8, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 4))","PRE-CALCULUS 11 (('MPREC11---', 0, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","SOCIAL JUSTICE 12 (('MSJ--12---', 1, 7))"
1279,10,"COMPUTER SCIENCE 11 (('MMACS11---', 0, 0))","CAREER LIFE EDUCATION 10 Linea (('MCLE-10--L', 0, 1))","ENGINEERING 11 (('MENR-11---', 4, 2))",NULL,"COMPOSITION 11 (('MCMPS11---', 7, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","PHYSICS 11 (('MPH--11---', 1, 6))","PRE-CALCULUS 11 (('MPREC11---', 0, 7))"
1280,10,"CAREER LIFE EDUCATION 10 (('MCLE-10---', 0, 0))","ACCOUNTING 11 (('MAC--11---', 1, 1))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 2))","ENGINEERING 11 (('MENR-11---', 4, 3))","FRENCH 10 (('MFR--10---', 0, 4))","PRE-CALCULUS 11 (('MPREC11---', 0, 5))","PHYSICS 11 (('MPH--11---', 1, 6))","COMPOSITION 11 (('MCMPS11---', 8, 7))"
1281,10,"CAREER LIFE EDUCATION 10 (('MCLE-10---', 0, 0))","COMPOSITION 11 (('MCMPS11---', 1, 1))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 2))","CHEMISTRY 11 (('MCH--11---', 5, 3))","FRENCH 10 (('MFR--10---', 0, 4))","LIFE SCIENCES 11 (('MLFSC11---', 4, 5))","PRE-CALCULUS 11 (('MPREC11---', 4, 6))","TEXTILES 11 (('MTXT-11---', 0, 7))"
1282,10,"LAW STUDIES 12 (('MLST-12---', 3, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","COMPOSITION 11 (('MCMPS11---', 0, 2))","LIFE SCIENCES 11 (('MLFSC11---', 4, 3))","AUTOMOTIVE TECHNOLOGY 11 (('MTAUT11---', 2, 4))","PRE-CALCULUS 11 (('MPREC11---', 5, 5))","SPANISH 11 (('MSP--11---', 0, 6))","TEXTILES 11 (('MTXT-11---', 0, 7))"
1283,10,"CAREER LIFE EDUCATION 10 (('MCLE-10---', 1, 0))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 1, 1))","COMPOSITION 11 (('MCMPS11---', 0, 2))","CHEMISTRY 11 (('MCH--11---', 5, 3))","DRAFTING 11 (('MTDRF11---', 3, 4))","ART STUDIO 11 (('MVAST11---', 0, 5))","PHYSICS 11 (('MPH--11---', 0, 6))","PRE-CALCULUS 11 (('MPREC11---', 0, 7))"
1284,10,"LIFE SCIENCES 11 (('MLFSC11---', 1, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","FRENCH 11 (('MFR--11---', 1, 2))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 3))","COMPOSITION 11 (('MCMPS11---', 7, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","PHYSICS 11 (('MPH--11---', 0, 6))","PRE-CALCULUS 11 (('MPREC11---', 5, 7))"
1285,10,"CAREER LIFE EDUCATION 10 (('MCLE-10---', 1, 0))","COMPOSITION 11 (('MCMPS11---', 1, 1))","ENVIRONMENTAL SCIENCE 11 (('MEVSC11---', 0, 2))","LAW STUDIES 12 (('MLST-12---', 0, 3))","YOGA FOR MINDFULNESS 11 (('YPA--1CX--', 0, 4))","WORKPLACE MATHEMATICS 11 (('MWPM-11---', 0, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","TEXTILES 11 (('MTXT-11---', 0, 7))"
1286,10,NULL,NULL,"EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 2))",NULL,"MEDIA DESIGN 11 (('MMEDD11---', 0, 4))","LIFE SCIENCES 11 (('MLFSC11---', 4, 5))","PRE-CALCULUS 11 (('MPREC11---', 5, 6))",NULL
1287,10,"CRIMINOLOGY 12 (('YLAW-2CX--', 2, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","LITERARY STUDIES 11 Challenge (('MLTST11C--', 0, 2))","PHYSICS 11 (('MPH--11---', 0, 3))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 4))","AP STATISTICS 12 (('ASTA-12---', 0, 5))","PRE-CALCULUS 11 (('MPREC11---', 5, 6))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12C--', 0, 7))"
1288,10,"COMPOSITION 11 (('MCMPS11---', 1, 0))","ACTIVE LIVING 11 Girls (('MACLV11G--', 0, 1))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 2))","FRENCH 11 (('MFR--11---', 1, 3))","ENVIRONMENTAL SCIENCE 11 (('MEVSC11---', 0, 4))","PRE-CALCULUS 11 (('MPREC11---', 5, 5))","FOOD STUDIES 11 (('MFOOD11---', 0, 6))",NULL
