Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8
CAREER LIFE EDUCATION 10 (25) [207A],INTRODUCTORY SPANISH 11 (5) [207A],FOOD STUDIES 11 (12) [A-3],CONTEMPORARY INDIGENOUS STUDIE (27) [205B],WORKPLACE MATHEMATICS 11 (9) [214],PRE-CALCULUS 11 (11) [220],OUTDOOR EDUCATION 11 (14) [Gym],CROSS TRAINING 10 (19) [Gym]
ACTIVE LIVING 11 Football (12) [A-4],CAREER LIFE EDUCATION 10 (28) [207B],COMPOSITION 11 (27) [103],SCIENCE 10 (29) [207A],CHEMISTRY 11 (25) [226],INSTRUMENTAL MUSIC 11: GUITAR (6) [209],WORKPLACE MATHEMATICS 10 (21) [221],ADST ?  FOOD STUDIES 10 (30) [A-2]
ACTIVE LIVING 11 (17) [Gym],COMPOSITION 11 (26) [A-7],LITERARY STUDIES 11 Challenge (30) [102],FOUNDATIONS OF MATH AND PRE-CA (29) [214],CHEMISTRY 11 (20) [226],PHYSICS 11 (8) [226],SCIENCE 10 (26) [225],TEXTILES 10 (19) [A-3]
DANCE CONDITIONING 11 (4) [207B],CAREER LIFE EDUCATION 10 Linea (29) [A-2],COMPOSITION 11 (30) [103],PHYSICAL AND HEALTH EDUCATION (18) [109],COMPOSITION 11 (27) [A-7],LITERARY STUDIES 11 Challenge (13) [222],LEARNING STRATEGIES 11 (2) [109],SOCIAL STUDIES 9 (30) [110]
DRAFTING 11 (3) [A-2],COMPOSITION 11 (12) [A-7],EFP WRITING 10 (30) [114],ADST-Technology Explorations 1 (19) [207B],ENVIRONMENTAL SCIENCE 11 (14) [227],LEARNING STRATEGIES 11 (3) [109],SOCIAL STUDIES 10 (26) [222],SOCIAL STUDIES 9 CHALLENGE (15) [104]
COMPOSITION 10 (21) [A-3],PRE-CALCULUS 11 HONOURS (27) [210],SCIENCE 10 (23) [219],FOUNDATIONS OF MATH AND PRE-CA (23) [214],COMPOSITION 10 (20) [205B],ADST ?  ELECTRONICS AND ROBOTI (16) [104],ADST ?  POWER TECHNOLOGY 10 (22) [103],SOCIAL STUDIES 9 CHALLENGE (30) [104]
ENGINEERING 11 (2) [101],FOOD STUDIES 11 (10) [A-3],BEGINNERS ELL 10 (9) [113],ADST ?  FOOD STUDIES 10 (27) [206],SOCIAL STUDIES 10 (21) [207A],SCIENCE 10 (30) [227],SCIENCE 10 (15) [225],SOCIAL STUDIES 9 (30) [110]
COMPOSITION 10 Challenge (30) [102],COMPOSITION 10 (14) [102],EFP WRITING 10 (14) [114],MATHEMATICS 9 (26) [220],SCIENCE 10: CHALLENGE (22) [207B],SOCIAL STUDIES 10 CHALLENGE (30) [205A],SPANISH 10 (14) [205A],SOCIAL STUDIES 9 (25) [110]
SOCIAL STUDIES 10 (7) [113],ENGINEERING 11 (1) [103],FOUNDATIONS OF MATH AND PRE-CA (20) [212],SCIENCE 9 (25) [A-2],LEARNING STRATEGIES 10 (3) [108],SOCIAL STUDIES 10 (21) [205B],OUTDOOR EDUCATION 10 (9) [205B],LEARNING STRATEGIES 9 LD (3) [118]
EFP WRITING 10 (30) [104],EFP WRITING 10 (26) [109],PHYSICAL AND HEALTH EDUCATION (12) [120],PHYSICAL AND HEALTH EDUCATION (28) [109],SCIENCE 10 (19) [A-3],PHYSICAL AND HEALTH EDUCATION (21) [103],SCIENCE 9 (23) [227],ADST - Textiles 9 (6) [116]
INDEPENDENT DIRECTED STUDIES 1 (7) [108],EFP WRITING 10 (10) [109],INDEPENDENT DIRECTED STUDIES 1 (17) [116],ENGLISH LANGUAGE ARTS 9 (24) [104],SCIENCE 10 (26) [A-3],MATHEMATICS 9 (27) [221],TECH ED 9: MECHANICS LD (22) [102],LEARNING STRATEGIES 9 LD (7) [118]
ADST ?  DRAFTING 10 (6) [109],ADST-Technology Explorations 1 (5) [113],INSTRUMENTAL MUSIC: JAZZ BAND (10) [119],MATHEMATICS 9 CHALLENGE (30) [221],PHYSICAL AND HEALTH EDUCATION (30) [101],SOCIAL STUDIES 9 (8) [207A],SCIENCE 9 (30) [227],
SOCIAL STUDIES 10 (27) [113],SOCIAL STUDIES 10 (6) [114],SCIENCE 10: CHALLENGE (14) [223],ADST 9 - General Explorations (3) [103],INSTRUMENTAL MUSIC: GUITAR 10 (12) [103],SCIENCE 9: CHALLENGE (25) [207B],SOCIAL STUDIES 9 (26) [207A],
ADST-Technology Explorations 1 (8) [116],COMPOSITION 10 Challenge (15) [116],ADST ?  FOOD STUDIES 10 (18) [118],ENGLISH LANGUAGE ARTS 9 (11) [104],SOCIAL STUDIES 10 CHALLENGE (9) [104],SCIENCE 9 (28) [105],VISUAL ARTS 9 (28) [207B],
ADST ? ENTREPRENEURSHIP AND MA (21) [119],EFP LITERARY STUDIES 10 (1) [118],FRENCH 9 (20) [201],PHYSICAL AND HEALTH EDUCATION (5) [109],SCIENCE 9 (19) [109],PHYSICAL AND HEALTH EDUCATION (11) [103],,
ADST ? ENTREPRENEURSHIP AND MA (29) [119],FOUNDATIONS OF MATH AND PRE-CA (16) [220],MATHEMATICS 9 (30) [214],PHYSICAL AND HEALTH EDUCATION (14) [109],ENGLISH LANGUAGE ARTS 9 (13) [110],PHYSICAL AND HEALTH EDUCATION (21) [103],,
ENGLISH LANGUAGE ARTS 9 (29) [201],FOUNDATIONS OF MATH AND PRE-CA (30) [220],ENGLISH LANGUAGE ARTS 9 CHALLE (21) [220],ENGLISH 9 FOR ELL (12) [110],MATHEMATICS 9 (30) [220],SCIENCE 9 (25) [105],,
SOCIAL STUDIES 9 (27) [210],FOUNDATIONS OF MATH AND PRE-CA (25) [220],MATHEMATICS 9 CHALLENGE (14) [221],,SCIENCE 9: CHALLENGE (20) [113],,,
ADST 9 - General Explorations (22) [212],ENGLISH LANGUAGE ARTS 9 (30) [119],ENGLISH LANGUAGE ARTS 9 (30) [225],,MATHEMATICS 9 HONOURS (29) [221],,,
DANCE 9 HIP HOP (15) [214],ADST 9 - General Explorations (17) [201],,,SOCIAL STUDIES 9 (3) [118],,,
ADST - Drafting 9 (20) [220],ENGLISH LANGUAGE ARTS 9 CHALLE (25) [221],,,,,,
,SPANISH 9 (29) [225],,,,,,
